0	8.3
1	7.31429
2	11.5857
3	10.6286
4	12.5714
5	7.07143
6	6.34286
7	8.05714
8	7.85714
9	6.95714
10	6.65714
11	7.37143
12	7.94286
13	7.94286
14	7.94286
15	9.7
16	8.82857
17	10.6857
18	8.01429
19	9
20	9
21	9
22	9
23	9
24	6.38571
25	7.37143
26	7.34286
27	6.34286
28	7.37143
29	9.81429
30	10.1286
31	10.8857
32	9.2
33	10.8857
34	8.67143
35	9.57143
36	9.62857
37	9.92857
38	9.02857
39	10.9143
40	10.8857
41	8.3
42	9.92857
43	10.7429
44	11.5857
45	12.5714
46	12.5714
47	12.5714
48	12.5429
49	11.8714
50	7.58571
51	7.11429
52	8.08571
53	8.58571
54	7.6
55	10.5
56	11.4857
57	11.4857
58	13.5286
59	10.6143
60	6.32857
61	6.67143
62	10.1286
63	11.1143
64	11.1143
65	8.61429
66	9.6
67	8.18571
68	8.32857
69	10.0143
70	8.58571
